Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,allstar
2105,Steve Nash,DAL,27.0,190.5,88.45044,Santa Clara,Canada,1996,1,15,70,15.6,3.2,7.3,6.5,0.023,0.078,0.211,0.603,0.335,2001,1
2108,Steve Francis,HOU,24.0,190.5,87.543256,Maryland,USA,1999,1,2,80,19.9,6.9,6.5,2.6,0.071,0.129,0.241,0.563,0.278,2001,1
2120,Peja Stojakovic,SAC,24.0,205.74,103.872568,None,Serbia and Montenegro,1996,1,14,75,20.4,5.8,2.2,5.7,0.036000000000000004,0.124,0.223,0.5760000000000001,0.094,2001,1
2125,Vince Carter,TOR,24.0,198.12,102.0582,North Carolina,USA,1998,1,5,75,27.6,5.5,3.9,5.1,0.065,0.093,0.305,0.551,0.187,2001,1
2138,Tracy McGrady,ORL,22.0,203.2,95.25431999999999,None,USA,1997,1,9,77,26.8,7.5,4.6,4.5,0.067,0.142,0.311,0.521,0.218,2001,1
2157,Ray Allen,MIL,25.0,195.58,92.98636,Connecticut,USA,1996,1,5,82,22.0,5.2,4.6,6.6,0.037000000000000005,0.116,0.242,0.61,0.199,2001,1
2176,Shareef Abdur-Rahim,VAN,24.0,205.74,104.32616,California,USA,1996,1,3,81,20.5,9.1,3.1,-7.3,0.063,0.195,0.245,0.5489999999999999,0.142,2001,1
2177,Shaquille O'Neal,LAL,29.0,215.9,142.88148,Louisiana State,USA,1992,1,1,74,28.7,12.7,3.7,7.9,0.116,0.247,0.318,0.574,0.177,2001,1
2208,Michael Jordan,WAS,39.0,198.12,97.975872,North Carolina,USA,1984,1,3,60,22.9,5.7,5.2,-0.3,0.027000000000000003,0.163,0.361,0.468,0.295,2002,1
2233,Peja Stojakovic,SAC,25.0,205.74,103.872568,None,Serbia and Montenegro,1996,1,14,71,21.2,5.3,2.5,7.5,0.03,0.12,0.234,0.5920000000000001,0.106,2002,1
2234,Paul Pierce,BOS,24.0,198.12,104.32616,Kansas,USA,1998,1,10,82,26.1,6.9,3.2,5.3,0.026,0.166,0.293,0.57,0.153,2002,1
2254,Kevin Garnett,MIN,26.0,210.82,99.79024,None,USA,1995,1,5,81,21.2,12.1,5.2,5.8,0.091,0.264,0.261,0.536,0.22,2002,1
2279,Kobe Bryant,LAL,23.0,200.66,95.25431999999999,None,USA,1996,1,13,80,25.2,5.5,5.5,7.6,0.041,0.118,0.304,0.544,0.254,2002,1
2313,Tracy McGrady,ORL,23.0,203.2,95.25431999999999,None,USA,1997,1,9,76,25.6,7.8,5.3,4.6,0.057,0.171,0.311,0.532,0.25,2002,1
2324,Tim Duncan,SAS,26.0,213.36,117.93392,Wake Forest,US Virgin Islands,1997,1,1,82,25.5,12.7,3.7,8.7,0.097,0.257,0.29100000000000004,0.5760000000000001,0.182,2002,1
2336,Zydrunas Ilgauskas,CLE,27.0,220.98,117.93392,None,Lithuania,1996,1,20,62,11.1,5.4,1.1,-4.1,0.125,0.181,0.272,0.501,0.096,2002,1
2353,Vince Carter,TOR,25.0,198.12,102.0582,North Carolina,USA,1998,1,5,60,24.7,5.2,4.0,1.5,0.063,0.085,0.302,0.515,0.19,2002,1
2391,Steve Nash,DAL,28.0,190.5,88.45044,Santa Clara,Canada,1996,1,15,82,17.9,3.1,7.7,5.2,0.02,0.077,0.23,0.602,0.355,2002,1
2394,Steve Francis,HOU,25.0,190.5,88.45044,Maryland,USA,1999,1,2,57,21.6,7.0,6.4,-1.6,0.051,0.142,0.281,0.517,0.281,2002,1
2395,Stephon Marbury,PHX,25.0,187.96,81.64656,Georgia Tech,USA,1996,1,4,82,20.4,3.2,8.1,-1.7,0.026,0.069,0.265,0.519,0.355,2002,1
2401,Shawn Marion,PHX,24.0,200.66,97.52228,Nevada-Las Vegas,USA,1999,1,9,81,19.1,9.9,2.0,0.0,0.075,0.217,0.235,0.518,0.091,2002,1
2405,Shaquille O'Neal,LAL,30.0,215.9,142.88148,Louisiana State,USA,1992,1,1,67,27.2,10.7,3.0,11.5,0.11,0.211,0.318,0.59,0.157,2002,1
2422,Chris Webber,SAC,29.0,208.28,111.13004,Michigan,USA,1993,1,1,54,24.5,10.1,4.8,9.4,0.081,0.201,0.29,0.54,0.21,2002,1
2474,Antoine Walker,BOS,25.0,205.74,111.13004,Kentucky,USA,1996,1,6,81,22.1,8.8,5.0,3.7,0.047,0.18600000000000005,0.277,0.49,0.224,2002,1
2490,Allen Iverson,PHI,27.0,182.88,74.84268,Georgetown,USA,1996,1,1,60,31.4,4.5,5.5,5.1,0.019,0.093,0.371,0.489,0.266,2002,1
2514,Brad Miller,IND,26.0,213.36,118.38751200000002,Purdue,USA,Undrafted,Undrafted,Undrafted,76,13.6,8.2,2.0,-5.3,0.128,0.193,0.204,0.5720000000000001,0.124,2002,1
2520,Ben Wallace,DET,27.0,205.74,108.86208,Virginia Union,USA,Undrafted,Undrafted,Undrafted,80,7.6,13.0,1.4,3.7,0.127,0.292,0.106,0.522,0.062,2002,1
